2B,3B,AB,BB,CS,G,GIDP,H,HBP,HR,IBB,PA,R,RBI,SB,SF,SH,SO,TB,age,batting_avg,onbase_perc,onbase_plus_slugging,onbase_plus_slugging_plus,player,pos,runs_allowed,slugging_perc,year
28,2,514,22,0,139,12,127,8,22,3,546,57,64,0,2,0,119,225,26,0.247,0.28800000000000003,0.725,90.0,Salvador Perez,C,712,0.43799999999999994,2016
24,1,605,57,3,158,18,161,1,25,5,667,80,104,5,4,0,132,262,26,0.266,0.32799999999999996,0.7609999999999999,102.0,Eric Hosmer,1B,712,0.433,2016
22,3,311,19,3,81,1,88,0,2,1,332,44,29,8,1,1,72,122,27,0.28300000000000003,0.32299999999999995,0.716,91.0,Whit Merrifield,2B,712,0.392,2016
24,6,637,27,4,162,16,166,3,7,2,682,57,55,17,5,10,96,223,29,0.261,0.292,0.642,71.0,Alcides Escobar,SS,712,0.35,2016
28,1,475,32,0,128,14,130,0,12,0,510,49,46,2,2,1,96,196,23,0.27399999999999997,0.318,0.731,94.0,Cheslor Cuthbert,3B,712,0.413,2016
16,2,445,52,1,128,9,98,8,17,3,506,62,40,8,1,0,148,169,32,0.22,0.312,0.6920000000000001,84.0,Alex Gordon,LF,712,0.38,2016
19,1,397,31,5,103,15,114,2,9,3,434,56,56,14,4,0,84,162,30,0.287,0.33899999999999997,0.747,99.0,Lorenzo Cain,CF,712,0.408,2016
24,4,457,13,3,128,12,138,7,5,1,484,52,43,14,3,3,105,185,30,0.302,0.32899999999999996,0.7340000000000001,95.0,Paulo Orlando,RF,712,0.405,2016
24,0,558,48,0,154,20,147,7,30,2,618,65,93,0,5,0,120,261,33,0.263,0.327,0.795,109.0,Kendrys Morales,DH,712,0.46799999999999997,2016
14,8,299,26,7,107,4,83,3,1,2,337,46,25,30,1,8,39,116,31,0.278,0.34,0.728,95.0,Jarrod Dyson,OF,712,0.38799999999999996,2016
6,0,147,11,1,54,4,34,2,1,0,161,13,13,0,0,1,31,43,27,0.231,0.294,0.586,58.0,Christian Colon,2B,712,0.293,2016
9,1,134,9,0,39,0,32,0,0,0,149,16,11,0,4,2,23,43,34,0.239,0.27899999999999997,0.6,60.0,Omar Infante,2B,712,0.321,2016
1,3,135,6,1,47,1,25,2,2,0,149,16,13,9,0,6,48,38,20,0.185,0.231,0.512,36.0,Raul Mondesi,2B,712,0.281,2016
10,1,123,8,0,56,2,35,0,4,0,133,18,16,0,0,2,36,59,32,0.285,0.32799999999999996,0.8079999999999999,113.0,Drew Butera,C,712,0.48,2016
6,0,104,9,1,27,5,25,0,7,0,113,12,13,0,0,0,13,52,27,0.24,0.301,0.8009999999999999,109.0,Mike Moustakas,3B,712,0.5,2016
6,0,78,6,0,26,1,18,0,3,1,85,11,10,0,0,1,23,33,27,0.231,0.28600000000000003,0.7090000000000001,86.0,Brett Eibner,UT,712,0.423,2016
1,0,41,3,2,13,0,13,0,0,0,44,2,5,0,0,0,8,14,25,0.317,0.364,0.705,91.0,Rey Fuentes,UT,712,0.341,2016
0,0,37,0,2,24,0,9,2,0,0,40,7,1,3,1,0,7,9,26,0.243,0.275,0.518,41.0,Billy Burns,UT,712,0.243,2016
1,0,19,2,0,8,0,4,0,0,0,21,4,1,0,0,0,8,5,24,0.21100000000000002,0.28600000000000003,0.5489999999999999,49.0,Hunter Dozier,UT,712,0.263,2016
1,0,11,1,0,9,0,1,0,0,0,12,1,0,0,0,0,4,2,33,0.091,0.16699999999999998,0.348,-6.0,Daniel Nava,1B,712,0.182,2016
0,0,4,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,29,0.0,0.0,0.0,-100.0,Tony Cruz,C,712,0.0,2016
0,0,3,0,2,17,0,0,0,0,0,3,6,0,11,0,0,1,0,25,0.0,0.0,0.0,-100.0,Terrance Gore,UT,712,0.0,2016
0,0,5,0,0,42,0,1,0,0,0,6,1,1,0,0,1,1,1,27,0.2,0.2,0.4,8.0,Danny Duffy,P,712,0.2,2016
0,0,5,0,0,34,0,0,0,0,0,5,0,0,0,0,0,3,0,32,0.0,0.0,0.0,-100.0,Edinson Volquez,P,712,0.0,2016
0,0,1,0,0,33,0,0,0,0,0,3,0,0,0,0,2,0,0,30,0.0,0.0,0.0,-100.0,Dillon Gee,P,712,0.0,2016
0,0,3,0,0,32,0,1,0,0,0,3,0,0,0,0,0,2,1,25,0.33299999999999996,0.33299999999999996,0.667,80.0,Yordano Ventura,P,712,0.33299999999999996,2016
0,0,3,0,0,33,0,0,0,0,0,3,0,0,0,0,0,2,0,31,0.0,0.0,0.0,-100.0,Ian Kennedy,P,712,0.0,2016
0,0,1,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0.0,0.0,0.0,-100.0,Chris Young,P,712,0.0,2016
0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,Scott Alexander,P,712,0.0,2016
0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.0,0.0,0.0,0.0,Joakim Soria,P,712,0.0,2016
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,Kris Medlen,P,712,0.0,2016
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0,Brooks Pounders,P,712,0.0,2016
0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,Matt Strahm,P,712,0.0,2016
0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,Chien-Ming Wang,P,712,0.0,2016
0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,Brian Flynn,P,712,0.0,2016
0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,Kelvin Herrera,P,712,0.0,2016
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,Alec Mills,P,712,0.0,2016
0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.0,0.0,0.0,0.0,Peter Moylan,P,712,0.0,2016
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,Kevin McCarthy,P,712,0.0,2016
0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.0,0.0,0.0,0.0,Luke Hochevar,P,712,0.0,2016
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.0,0.0,0.0,0.0,Jason Vargas,P,712,0.0,2016
0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,Wade Davis,P,712,0.0,2016
25,0,531,13,0,142,23,138,4,21,4,553,52,70,1,5,0,82,226,25,0.26,0.28,0.706,88.0,Salvador Perez,C,641,0.426,2015
33,5,599,61,3,158,16,178,3,18,6,667,98,93,7,3,1,108,275,25,0.297,0.363,0.8220000000000001,122.0,Eric Hosmer,1B,641,0.45899999999999996,2015
23,7,440,9,2,124,8,97,0,2,0,455,39,44,2,4,2,69,140,33,0.22,0.23399999999999999,0.552,48.0,Omar Infante,2B,641,0.318,2015
20,5,612,26,5,148,10,157,8,3,1,662,76,47,17,5,11,75,196,28,0.257,0.293,0.614,67.0,Alcides Escobar,SS,641,0.32,2015
34,1,549,43,2,147,14,156,13,22,1,614,73,82,1,5,4,76,258,26,0.284,0.348,0.8170000000000001,119.0,Mike Moustakas,3B,641,0.47,2015
18,0,354,49,5,104,2,96,14,13,7,422,40,48,2,5,0,92,153,31,0.271,0.377,0.809,119.0,Alex Gordon,LF,641,0.43200000000000005,2015
34,6,551,37,6,140,16,169,12,16,4,604,101,72,28,4,0,98,263,29,0.307,0.361,0.838,125.0,Lorenzo Cain,CF,641,0.47700000000000004,2015
22,2,385,15,0,105,10,98,5,4,0,411,40,32,9,6,0,67,136,34,0.255,0.287,0.64,73.0,Alex Rios,RF,641,0.353,2015
41,2,569,58,0,158,24,165,8,22,4,639,81,106,0,4,0,103,276,32,0.29,0.36200000000000004,0.847,127.0,Kendrys Morales,DH,641,0.485,2015
16,1,232,29,3,59,3,66,1,7,1,264,37,23,2,2,0,30,105,34,0.284,0.364,0.816,120.0,Ben Zobrist,UT,641,0.45299999999999996,2015
14,6,241,5,3,86,0,60,2,7,0,251,31,27,3,1,2,53,107,29,0.249,0.26899999999999996,0.713,89.0,Paulo Orlando,OF,641,0.444,2015
8,6,200,14,3,90,3,50,4,2,0,225,31,18,26,1,6,37,76,30,0.25,0.311,0.691,86.0,Jarrod Dyson,OF,641,0.38,2015
5,0,107,11,2,43,2,31,0,0,0,119,8,6,3,0,1,17,36,26,0.29,0.35600000000000004,0.6920000000000001,90.0,Christian Colon,MI,641,0.336,2015
3,0,86,6,0,45,0,17,2,1,0,99,6,5,0,0,5,24,23,31,0.198,0.266,0.5329999999999999,46.0,Drew Butera,C,641,0.267,2015
2,1,46,4,0,19,0,10,0,1,0,50,6,8,0,0,0,9,17,22,0.217,0.28,0.65,74.0,Cheslor Cuthbert,3B,641,0.37,2015
2,0,30,3,0,12,1,5,0,0,0,34,2,4,0,1,0,14,7,34,0.16699999999999998,0.235,0.469,28.0,Jonny Gomes,UT,641,0.233,2015
0,0,7,0,0,8,1,1,0,0,0,7,0,0,0,0,0,3,1,25,0.14300000000000002,0.14300000000000002,0.28600000000000003,-22.0,Francisco Pena,C,641,0.14300000000000002,2015
0,0,5,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,28,0.0,0.0,0.0,-100.0,Dusty Coleman,3B,641,0.0,2015
0,0,4,0,0,4,0,0,0,0,0,5,0,1,0,1,0,2,0,35,0.0,0.0,0.0,-100.0,Erik Kratz,C,641,0.0,2015
0,0,3,0,0,9,0,0,1,0,0,4,1,0,3,0,0,1,0,24,0.0,0.25,0.25,-23.0,Terrance Gore,UT,641,0.0,2015
0,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,23,0.0,0.0,0.0,-100.0,Orlando Calixte,SS,641,0.0,2015
0,0,6,0,0,28,0,0,0,0,0,6,0,0,0,0,0,5,0,24,0.0,0.0,0.0,-100.0,Yordano Ventura,P,641,0.0,2015
0,0,6,0,0,34,0,0,0,0,0,6,0,0,0,0,0,4,0,31,0.0,0.0,0.0,-100.0,Edinson Volquez,P,641,0.0,2015
0,0,4,0,0,30,0,1,0,0,0,5,0,0,0,0,1,0,1,36,0.25,0.25,0.5,37.0,Jeremy Guthrie,P,641,0.25,2015
0,0,4,0,0,34,0,2,0,0,0,4,0,3,0,0,0,1,2,36,0.5,0.5,1.0,173.0,Chris Young,P,641,0.5,2015
