link,runs,runs_allowed,wins,year
http://www.baseball-reference.com/teams/KCR/2016.shtml,675,712,81,2016
http://www.baseball-reference.com/teams/KCR/2015.shtml,724,641,95,2015
http://www.baseball-reference.com/teams/KCR/2014.shtml,651,624,89,2014
http://www.baseball-reference.com/teams/KCR/2013.shtml,648,601,86,2013
http://www.baseball-reference.com/teams/KCR/2012.shtml,676,746,72,2012
http://www.baseball-reference.com/teams/KCR/2011.shtml,730,762,71,2011
http://www.baseball-reference.com/teams/KCR/2010.shtml,676,845,67,2010
http://www.baseball-reference.com/teams/KCR/2009.shtml,686,842,65,2009
http://www.baseball-reference.com/teams/KCR/2008.shtml,691,781,75,2008
http://www.baseball-reference.com/teams/KCR/2007.shtml,706,778,69,2007
http://www.baseball-reference.com/teams/KCR/2006.shtml,757,971,62,2006
http://www.baseball-reference.com/teams/KCR/2005.shtml,701,935,56,2005
http://www.baseball-reference.com/teams/KCR/2004.shtml,720,905,58,2004
http://www.baseball-reference.com/teams/KCR/2003.shtml,836,867,83,2003
http://www.baseball-reference.com/teams/KCR/2002.shtml,737,891,62,2002
http://www.baseball-reference.com/teams/KCR/2001.shtml,729,858,65,2001
http://www.baseball-reference.com/teams/KCR/2000.shtml,879,930,77,2000
http://www.baseball-reference.com/teams/KCR/1999.shtml,856,921,64,1999
http://www.baseball-reference.com/teams/KCR/1998.shtml,714,899,72,1998
http://www.baseball-reference.com/teams/KCR/1997.shtml,747,820,67,1997
http://www.baseball-reference.com/teams/KCR/1996.shtml,746,786,75,1996
http://www.baseball-reference.com/teams/KCR/1995.shtml,629,691,70,1995
http://www.baseball-reference.com/teams/KCR/1994.shtml,574,532,64,1994
http://www.baseball-reference.com/teams/KCR/1993.shtml,675,694,84,1993
http://www.baseball-reference.com/teams/KCR/1992.shtml,610,667,72,1992
http://www.baseball-reference.com/teams/KCR/1991.shtml,727,722,82,1991
http://www.baseball-reference.com/teams/KCR/1990.shtml,707,709,75,1990
http://www.baseball-reference.com/teams/KCR/1989.shtml,690,635,92,1989
http://www.baseball-reference.com/teams/KCR/1988.shtml,704,648,84,1988
http://www.baseball-reference.com/teams/KCR/1987.shtml,715,691,83,1987
http://www.baseball-reference.com/teams/KCR/1986.shtml,654,673,76,1986
http://www.baseball-reference.com/teams/KCR/1985.shtml,687,639,91,1985
http://www.baseball-reference.com/teams/KCR/1984.shtml,673,686,84,1984
http://www.baseball-reference.com/teams/KCR/1983.shtml,696,767,79,1983
http://www.baseball-reference.com/teams/KCR/1982.shtml,784,717,90,1982
http://www.baseball-reference.com/teams/KCR/1981.shtml,397,405,50,1981
http://www.baseball-reference.com/teams/KCR/1980.shtml,809,694,97,1980
http://www.baseball-reference.com/teams/KCR/1979.shtml,851,816,85,1979
http://www.baseball-reference.com/teams/KCR/1978.shtml,743,634,92,1978
http://www.baseball-reference.com/teams/KCR/1977.shtml,822,651,102,1977
http://www.baseball-reference.com/teams/KCR/1976.shtml,713,611,90,1976
http://www.baseball-reference.com/teams/KCR/1975.shtml,710,649,91,1975
http://www.baseball-reference.com/teams/KCR/1974.shtml,667,662,77,1974
http://www.baseball-reference.com/teams/KCR/1973.shtml,755,752,88,1973
http://www.baseball-reference.com/teams/KCR/1972.shtml,580,545,76,1972
http://www.baseball-reference.com/teams/KCR/1971.shtml,603,566,85,1971
http://www.baseball-reference.com/teams/KCR/1970.shtml,611,705,65,1970
http://www.baseball-reference.com/teams/KCR/1969.shtml,586,688,69,1969
