Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,STL,NL,162,105,57,.648,5.3,4.1,1.2,-0.1,1.1,100-62,5,11-1,53-28,52-29,9-4,29-20,79-44,26-13,46-33,59-24
2,NYY,AL,162,101,61,.624,5.5,5.0,0.5,0.0,0.6,89-73,12,10-8,57-24,44-37,5-4,24-16,65-49,36-12,35-30,66-31
3,BOS,AL,162,98,64,.605,5.9,4.7,1.1,0.0,1.1,96-66,2,9-9,55-26,43-38,6-6,16-18,66-40,32-24,42-31,56-33
4,ATL,NL,162,96,66,.593,5.0,4.1,0.8,-0.1,0.7,95-67,1,8-10,49-32,47-34,7-8,27-17,62-47,34-19,46-36,50-30
5,LAD,NL,162,93,69,.574,4.7,4.2,0.5,-0.2,0.3,89-73,4,10-8,49-32,44-37,11-3,32-16,70-47,23-22,44-43,49-26
6,ANA,AL,162,92,70,.568,5.2,4.5,0.6,0.1,0.7,91-71,1,7-11,45-36,47-34,4-6,19-21,58-53,34-17,43-43,49-27
7,MIN,AL,162,92,70,.568,4.8,4.4,0.4,-0.1,0.3,87-75,5,11-7,49-32,43-38,12-6,24-16,62-47,30-23,28-29,64-41
8,HOU,NL,162,92,70,.568,5.0,4.3,0.6,0.0,0.6,91-71,1,7-5,48-33,44-37,3-7,24-18,73-53,19-17,41-41,51-29
9,OAK,AL,162,91,71,.562,4.9,4.6,0.3,0.1,0.4,86-76,5,10-8,52-29,39-42,12-7,33-19,62-53,29-18,39-46,52-25
10,SFG,NL,162,91,71,.562,5.2,4.8,0.5,-0.2,0.3,88-74,3,11-7,47-35,44-36,8-10,18-25,59-53,32-18,44-41,47-30
11,CHC,NL,162,89,73,.549,4.9,4.1,0.8,0.0,0.7,94-68,-5,8-4,45-37,44-36,10-9,19-30,64-58,25-15,43-43,46-30
12,TEX,AL,162,89,73,.549,5.3,4.9,0.4,0.1,0.5,87-75,2,10-8,51-30,38-43,5-4,24-19,60-49,29-24,40-45,49-28
13,SDP,NL,162,87,75,.537,4.7,4.4,0.4,-0.2,0.2,87-75,0,8-10,42-39,45-36,7-4,25-15,58-52,29-23,37-43,50-32
14,PHI,NL,162,86,76,.531,5.2,4.8,0.4,-0.1,0.3,86-76,0,9-9,42-39,44-37,10-8,23-20,63-53,23-23,38-45,48-31
15,CHW,AL,162,83,79,.512,5.3,5.1,0.2,0.0,0.2,84-78,-1,8-10,46-35,37-44,6-7,28-18,62-44,21-35,33-41,50-38
16,FLA,NL,162,83,79,.512,4.4,4.3,0.1,-0.1,0.0,83-79,0,7-11,42-38,41-41,5-10,20-17,58-59,25-20,36-45,47-34
17,CLE,AL,162,80,82,.494,5.3,5.3,0.0,0.0,0.0,81-81,-1,10-8,44-37,36-45,11-13,26-20,56-48,24-34,37-47,43-35
18,BAL,AL,162,78,84,.481,5.2,5.1,0.1,0.1,0.1,82-80,-4,5-13,38-43,40-41,6-7,15-22,56-55,22-29,32-56,46-28
19,CIN,NL,162,76,86,.469,4.6,5.6,-1.0,0.1,-0.9,67-95,9,5-7,40-41,36-45,12-7,25-20,53-62,23-24,42-53,34-33
20,PIT,NL,161,72,89,.447,4.2,4.6,-0.4,0.0,-0.4,74-87,-2,2-10,39-41,33-48,8-7,20-26,58-68,14-21,35-62,37-27
21,DET,AL,162,72,90,.444,5.1,5.2,-0.1,0.0,-0.1,79-83,-7,9-9,38-43,34-47,6-9,12-27,48-52,24-38,39-49,33-41
22,NYM,NL,162,71,91,.438,4.2,4.5,-0.3,0.0,-0.3,76-86,-5,10-8,38-43,33-48,11-6,23-24,54-64,17-27,38-65,33-26
23,TBD,AL,161,70,91,.435,4.4,5.2,-0.8,0.1,-0.7,68-93,2,15-3,41-39,29-52,6-7,17-19,45-70,25-21,30-60,40-31
24,COL,NL,162,68,94,.420,5.1,5.7,-0.6,-0.1,-0.6,73-89,-5,8-10,38-43,30-51,3-11,16-24,42-73,26-21,39-62,29-32
25,TOR,AL,161,67,94,.416,4.5,5.1,-0.6,0.1,-0.5,71-90,-4,8-10,40-41,27-53,4-7,17-22,47-65,20-29,32-55,35-39
26,MIL,NL,161,67,94,.416,3.9,4.7,-0.8,0.1,-0.7,68-93,-1,8-4,36-45,31-49,5-12,18-20,56-73,11-21,37-61,30-33
27,MON,NL,162,67,95,.414,3.9,4.7,-0.8,0.0,-0.8,67-95,0,7-11,35-45,32-50,5-8,16-30,46-67,21-28,36-65,31-30
28,SEA,AL,162,63,99,.389,4.3,5.1,-0.8,0.2,-0.6,69-93,-6,9-9,38-44,25-55,11-6,20-30,44-68,19-31,37-66,26-33
29,KCR,AL,162,58,104,.358,4.4,5.6,-1.1,0.1,-1.0,64-98,-6,6-12,33-47,25-57,4-7,14-19,36-79,22-25,25-62,33-42
30,ARI,NL,162,51,111,.315,3.8,5.5,-1.8,0.0,-1.7,54-108,-3,6-12,29-52,22-59,6-8,15-31,38-70,13-41,30-70,21-41
,Avg,,,80,80,.500,4.8,4.8,,,,80-81,,8-8,43-37,37-43,7-7,21-21,56-57,24-23,37-48,43-32
