link,runs,runs_allowed,wins,year
http://www.baseball-reference.com/teams/NYY/2016.shtml,680,702,84,2016
http://www.baseball-reference.com/teams/NYY/2015.shtml,764,698,87,2015
http://www.baseball-reference.com/teams/NYY/2014.shtml,633,664,84,2014
http://www.baseball-reference.com/teams/NYY/2013.shtml,650,671,85,2013
http://www.baseball-reference.com/teams/NYY/2012.shtml,804,668,95,2012
http://www.baseball-reference.com/teams/NYY/2011.shtml,867,657,97,2011
http://www.baseball-reference.com/teams/NYY/2010.shtml,859,693,95,2010
http://www.baseball-reference.com/teams/NYY/2009.shtml,915,753,103,2009
http://www.baseball-reference.com/teams/NYY/2008.shtml,789,727,89,2008
http://www.baseball-reference.com/teams/NYY/2007.shtml,968,777,94,2007
http://www.baseball-reference.com/teams/NYY/2006.shtml,930,767,97,2006
http://www.baseball-reference.com/teams/NYY/2005.shtml,886,789,95,2005
http://www.baseball-reference.com/teams/NYY/2004.shtml,897,808,101,2004
http://www.baseball-reference.com/teams/NYY/2003.shtml,877,716,101,2003
http://www.baseball-reference.com/teams/NYY/2002.shtml,897,697,103,2002
http://www.baseball-reference.com/teams/NYY/2001.shtml,804,713,95,2001
http://www.baseball-reference.com/teams/NYY/2000.shtml,871,814,87,2000
http://www.baseball-reference.com/teams/NYY/1999.shtml,900,731,98,1999
http://www.baseball-reference.com/teams/NYY/1998.shtml,965,656,114,1998
http://www.baseball-reference.com/teams/NYY/1997.shtml,891,688,96,1997
http://www.baseball-reference.com/teams/NYY/1996.shtml,871,787,92,1996
http://www.baseball-reference.com/teams/NYY/1995.shtml,749,688,79,1995
http://www.baseball-reference.com/teams/NYY/1994.shtml,670,534,70,1994
http://www.baseball-reference.com/teams/NYY/1993.shtml,821,761,88,1993
http://www.baseball-reference.com/teams/NYY/1992.shtml,733,746,76,1992
http://www.baseball-reference.com/teams/NYY/1991.shtml,674,777,71,1991
http://www.baseball-reference.com/teams/NYY/1990.shtml,603,749,67,1990
