R,RA,SOS,W,year,ERA,WHIP,FIP,SO
826.1999999999999,793.8000000000001,0.0,84,1997,4.52,1.4509999999999998,4.83,1050
793.8000000000001,777.6,0.0,85,1998,4.49,1.462,4.51,1091
712.8000000000001,826.1999999999999,-0.2,70,1999,4.79,1.464,4.94,877
858.6,874.8000000000001,0.1,82,2000,5.0,1.517,5.46,846
696.6,729.0,0.2,75,2001,4.2,1.375,4.48,947
858.6,648.0,0.1,99,2002,3.69,1.2770000000000001,4.25,999
729.0,745.1999999999999,0.1,77,2003,4.28,1.348,4.57,980
842.4,729.0,0.1,92,2004,4.28,1.36,4.09,1164
664.1999999999999,810.0,0.1,65,1998,4.63,1.3630000000000002,4.69,908
907.1999999999999,680.4,0.1,100,1999,3.77,1.315,4.27,1198
793.8000000000001,761.4,0.0,85,2000,4.35,1.344,4.28,1220
810.0,680.4,0.1,92,2001,3.87,1.242,4.08,1297
826.1999999999999,680.4,-0.1,98,2002,3.92,1.232,3.67,1303
712.8000000000001,680.4,-0.1,84,2003,3.84,1.3090000000000002,3.83,1291
615.6,891.0,0.0,51,2004,4.98,1.496,4.78,1153
696.6,858.6,-0.4,77,2005,4.84,1.454,4.55,1038
777.6,793.8000000000001,-0.3,76,2006,4.48,1.3969999999999998,4.34,1115
712.8000000000001,729.0,-0.2,90,2007,4.13,1.382,4.52,1088
712.8000000000001,712.8000000000001,-0.5,82,2008,3.98,1.2919999999999998,3.84,1229
712.8000000000001,777.6,-0.1,70,2009,4.42,1.3780000000000001,4.2,1158
712.8000000000001,842.4,0.1,65,2010,4.81,1.432,4.76,1070
729.0,664.1999999999999,-0.2,94,2011,3.8,1.286,4.02,1058
729.0,680.4,-0.2,81,2012,3.93,1.29,3.81,1200
680.4,696.6,-0.1,81,2013,3.92,1.301,4.04,1218
615.6,745.1999999999999,-0.1,64,2014,4.26,1.34,3.83,1278
712.8000000000001,712.8000000000001,-0.3,79,2015,4.04,1.33,4.21,1215
745.1999999999999,891.0,0.0,69,2016,5.09,1.492,4.5,1318
777.6,648.0,-0.1,96,1996,3.52,1.2409999999999999,3.5,1245
793.8000000000001,583.2,0.0,101,1997,3.18,1.207,3.45,1196
826.1999999999999,583.2,-0.1,106,1998,3.25,1.222,3.53,1232
842.4,664.1999999999999,0.1,103,1999,3.63,1.295,3.85,1197
810.0,712.8000000000001,-0.2,95,2000,4.05,1.327,4.19,1093
729.0,648.0,-0.2,88,2001,3.59,1.287,3.96,1133
712.8000000000001,567.0,-0.1,101,2002,3.13,1.265,3.83,1058
907.1999999999999,745.1999999999999,0.0,101,2003,4.1,1.36,4.21,992
810.0,664.1999999999999,-0.1,96,2004,3.74,1.3780000000000001,4.15,1025
761.4,680.4,-0.1,90,2005,3.98,1.39,4.19,929
842.4,810.0,-0.3,79,2006,4.6,1.4580000000000002,4.65,1049
810.0,729.0,-0.2,84,2007,4.11,1.359,4.45,1106
745.1999999999999,777.6,-0.3,72,2008,4.46,1.406,4.35,1076
729.0,648.0,-0.2,86,2009,3.57,1.319,3.66,1232
745.1999999999999,631.8,-0.1,91,2010,3.56,1.272,3.65,1241
648.0,599.4,-0.1,89,2011,3.48,1.252,3.49,1332
696.6,599.4,-0.1,94,2012,3.42,1.227,3.74,1232
680.4,550.8,-0.3,96,2013,3.18,1.196,3.44,1232
